,artist_uri,artist
346,spotify:artist:1S5jf5XWhQTMjGZQxCH0AJ,The Midnight Hour
347,spotify:artist:2SROUNq07KfAc9ZFJCwSAH,Miserable
348,spotify:artist:0rpMdBzQXf7aYRnu5fDBJy,Violent Femmes
349,spotify:artist:1kOg7VnU8brFniiq9RnR9X,Savage Messiah
350,spotify:artist:2aVHDjRHRM7dcFkGwahXLG,Lee Hazlewood
351,spotify:artist:47meGvCz0CZklN50dgzjmL,She Drew The Gun
352,spotify:artist:428Jnte7ijQ5BCSXQoxpmO,Foxtails
353,spotify:artist:4giBIdvXjsPgeA7Np948yt,Sixpress
354,spotify:artist:4xXCRXOfQKQ2gjWxNhNzYW,Air Supply
355,spotify:artist:6LQeBFIfD4C22RJVVjQ6S7,Jimmy Somerville
356,spotify:artist:1fy3AQc7grjf5LnCd7snSg,The View
357,spotify:artist:5ltJZgIW3OkY5WvuzX5MYz,Mr Twin Sister
358,spotify:artist:7d64ZVOXg02y73HB5UMqkb,Okay Kaya
359,spotify:artist:08avsqaGIlK2x3i2Cu7rKH,Keith Richards
360,spotify:artist:0PK6ewFU4DbFB8Eqr58Sct,Acid King
361,spotify:artist:7lscFXsWNk0vWfHwgAHLR1,Valkyrja
362,spotify:artist:6p9Qy71KocWwjmpUcHUTda,Rebirth Brass Band
